"","X","season","gameid","teamid","opp","win","team_bpi","opp_bpi","bpi_diff","team_seed","opp_seed","wprob","count","sqrt_count","log_count"
"1",1,2012,"2012_1140_1233",1140,1233,1,71.1,71.3,-0.200000000000003,"14","14",0.5,0,0,-4.60517018598809
"2",2,2012,"2012_1290_1443",1290,1443,0,40.3,46.2,-5.90000000000001,"16","16",0.5,12,3.46410161513775,2.48573963609189
"3",3,2012,"2012_1143_1378",1143,1378,0,76.9,69.4,7.5,"12","12",0.5,1,1,0.00995033085316809
"4",4,2012,"2012_1249_1436",1249,1436,0,61.1,56.3,4.8,"16","16",0.5,12,3.46410161513775,2.48573963609189
"5",5,2012,"2012_1124_1355",1124,1355,1,81.7,66.6,15.1,"03","14",0.851851851851852,108,10.3923048454133,4.68222381543038
"6",6,2012,"2012_1160_1424",1160,1424,1,65.3,75.9,-10.6,"11","06",0.333333333333333,108,10.3923048454133,4.68222381543038
"7",7,2012,"2012_1211_1452",1211,1452,1,79.2,73.6,5.60000000000001,"07","10",0.601851851851852,108,10.3923048454133,4.68222381543038
"8",8,2012,"2012_1231_1308",1231,1308,1,82.1,70.1,12,"04","13",0.787037037037037,108,10.3923048454133,4.68222381543038
"9",9,2012,"2012_1163_1235",1163,1235,0,76,76.4,-0.400000000000006,"09","08",0.527777777777778,108,10.3923048454133,4.68222381543038
"10",10,2012,"2012_1243_1379",1243,1379,1,78.4,71.7,6.7,"08","09",0.472222222222222,108,10.3923048454133,4.68222381543038
"11",11,2012,"2012_1246_1443",1246,1443,1,92.4,46.2,46.2,"01","16",1,108,10.3923048454133,4.68222381543038
"12",12,2012,"2012_1172_1257",1172,1257,0,68.9,82.5,-13.6,"13","04",0.212962962962963,108,10.3923048454133,4.68222381543038
"13",13,2012,"2012_1140_1266",1140,1266,0,71.1,80.7,-9.60000000000001,"14","03",0.148148148148148,108,10.3923048454133,4.68222381543038
"14",14,2012,"2012_1161_1293",1161,1293,0,67.6,73.2,-5.60000000000001,"11","06",0.333333333333333,108,10.3923048454133,4.68222381543038
"15",15,2012,"2012_1253_1307",1253,1307,0,73.3,79.1,-5.8,"12","05",0.333333333333333,108,10.3923048454133,4.68222381543038
"16",16,2012,"2012_1259_1326",1259,1326,0,59.9,88.6,-28.7,"15","02",0.037037037037037,108,10.3923048454133,4.68222381543038
"17",17,2012,"2012_1393_1421",1393,1421,1,90.2,62.1,28.1,"01","16",1,108,10.3923048454133,4.68222381543038
"18",18,2012,"2012_1433_1455",1433,1455,1,72.3,83.3,-11,"12","05",0.333333333333333,108,10.3923048454133,4.68222381543038
"19",19,2012,"2012_1217_1435",1217,1435,0,73.6,80.2,-6.60000000000001,"12","05",0.333333333333333,108,10.3923048454133,4.68222381543038
"20",20,2012,"2012_1285_1458",1285,1458,0,63.8,81.7,-17.9,"13","04",0.212962962962963,108,10.3923048454133,4.68222381543038
"21",21,2012,"2012_1153_1400",1153,1400,1,75.1,78,-2.90000000000001,"06","11",0.666666666666667,108,10.3923048454133,4.68222381543038
"22",22,2012,"2012_1104_1166",1104,1166,0,78,78.4,-0.400000000000006,"09","08",0.527777777777778,108,10.3923048454133,4.68222381543038
"23",23,2012,"2012_1196_1438",1196,1438,1,80.8,77.9,2.89999999999999,"07","10",0.601851851851852,108,10.3923048454133,4.68222381543038
"24",24,2012,"2012_1199_1382",1199,1382,1,77.8,69.4,8.39999999999999,"03","14",0.851851851851852,108,10.3923048454133,4.68222381543038
"25",25,2012,"2012_1125_1207",1125,1207,0,75.1,80.2,-5.10000000000001,"14","03",0.148148148148148,108,10.3923048454133,4.68222381543038
"26",26,2012,"2012_1178_1242",1178,1242,0,58.3,87.7,-29.4,"15","02",0.037037037037037,108,10.3923048454133,4.68222381543038
"27",27,2012,"2012_1181_1250",1181,1250,0,85.4,63.7,21.7,"02","15",0.962962962962963,108,10.3923048454133,4.68222381543038
"28",28,2012,"2012_1254_1277",1254,1277,0,53.4,87.4,-34,"16","01",0,0,0,-4.60517018598809
"29",29,2012,"2012_1301_1361",1301,1361,1,73.7,73.5,0.200000000000003,"11","06",0.333333333333333,108,10.3923048454133,4.68222381543038
"30",30,2012,"2012_1281_1313",1281,1313,0,85.7,47.8,37.9,"02","15",0.962962962962963,108,10.3923048454133,4.68222381543038
"31",31,2012,"2012_1314_1436",1314,1436,1,88.4,56.3,32.1,"01","16",1,108,10.3923048454133,4.68222381543038
"32",32,2012,"2012_1276_1325",1276,1325,0,75.9,68.3,7.60000000000001,"04","13",0.787037037037037,108,10.3923048454133,4.68222381543038
"33",33,2012,"2012_1345_1388",1345,1388,1,73.8,73.9,-0.100000000000009,"10","07",0.398148148148148,108,10.3923048454133,4.68222381543038
"34",34,2012,"2012_1378_1396",1378,1396,1,69.4,77.3,-7.89999999999999,"12","05",0.333333333333333,108,10.3923048454133,4.68222381543038
"35",35,2012,"2012_1272_1387",1272,1387,0,83.6,79.9,3.69999999999999,"08","09",0.472222222222222,108,10.3923048454133,4.68222381543038
"36",36,2012,"2012_1323_1462",1323,1462,0,70.3,70.8,-0.5,"07","10",0.601851851851852,108,10.3923048454133,4.68222381543038
"37",37,2012,"2012_1124_1160",1124,1160,1,81.7,65.3,16.4,"03","11",0.676470588235294,34,5.8309518948453,3.5266545990191
"38",38,2012,"2012_1231_1433",1231,1433,1,82.1,72.3,9.8,"04","12",0.592592592592593,27,5.19615242270663,3.29620716780452
"39",39,2012,"2012_1235_1246",1235,1246,0,76.4,92.4,-16,"08","01",0.207547169811321,53,7.28010988928052,3.97048057499971
"40",40,2012,"2012_1257_1307",1257,1307,1,82.5,79.1,3.40000000000001,"04","05",0.525423728813559,59,7.68114574786861,4.07770692106908
"41",41,2012,"2012_1266_1293",1266,1293,1,80.7,73.2,7.5,"03","06",0.559322033898305,59,7.68114574786861,4.07770692106908
"42",42,2012,"2012_1211_1326",1211,1326,0,79.2,88.6,-9.39999999999999,"07","02",0.265625,64,8,4.15903932115391
"43",43,2012,"2012_1243_1393",1243,1393,0,78.4,90.2,-11.8,"08","01",0.207547169811321,53,7.28010988928052,3.97048057499971
"44",44,2012,"2012_1435_1458",1435,1458,0,80.2,81.7,-1.5,"05","04",0.474576271186441,59,7.68114574786861,4.07770692106908
"45",45,2012,"2012_1153_1199",1153,1199,1,75.1,77.8,-2.7,"06","03",0.440677966101695,59,7.68114574786861,4.07770692106908
"46",46,2012,"2012_1196_1313",1196,1313,1,80.8,47.8,33,"07","15",1,1,1,0.00995033085316809
"47",47,2012,"2012_1242_1345",1242,1345,1,87.7,73.8,13.9,"02","10",0.575,40,6.32455532033676,3.68912942286914
"48",48,2012,"2012_1277_1387",1277,1387,1,87.4,79.9,7.5,"01","09",0.929824561403509,57,7.54983443527075,4.04322669104349
"49",49,2012,"2012_1207_1301",1207,1301,0,80.2,73.7,6.5,"03","11",0.676470588235294,34,5.8309518948453,3.5266545990191
"50",50,2012,"2012_1166_1314",1166,1314,0,78.4,88.4,-10,"08","01",0.207547169811321,53,7.28010988928052,3.97048057499971
"51",51,2012,"2012_1325_1378",1325,1378,1,68.3,69.4,-1.10000000000001,"13","12",0.111111111111111,9,3,2.19833507162025
"52",52,2012,"2012_1250_1462",1250,1462,0,63.7,70.8,-7.09999999999999,"15","10",0,0,0,-4.60517018598809
"53",53,2012,"2012_1196_1266",1196,1266,1,80.8,80.7,0.0999999999999943,"07","03",0.25,8,2.82842712474619,2.08069076108027
"54",54,2012,"2012_1257_1277",1257,1277,1,82.5,87.4,-4.90000000000001,"04","01",0.288888888888889,45,6.70820393249937,3.80688468730484
"55",55,2012,"2012_1153_1326",1153,1326,0,75.1,88.6,-13.5,"06","02",0.259259259259259,27,5.19615242270663,3.29620716780452
"56",56,2012,"2012_1393_1458",1393,1458,1,90.2,81.7,8.5,"01","04",0.711111111111111,45,6.70820393249937,3.80688468730484
"57",57,2012,"2012_1124_1462",1124,1462,1,81.7,70.8,10.9,"03","10",0.666666666666667,12,3.46410161513775,2.48573963609189
"58",58,2012,"2012_1242_1301",1242,1301,1,87.7,73.7,14,"02","11",0.909090909090909,11,3.3166247903554,2.39880395073459
"59",59,2012,"2012_1231_1246",1231,1246,0,82.1,92.4,-10.3,"04","01",0.288888888888889,45,6.70820393249937,3.80688468730484
"60",60,2012,"2012_1314_1325",1314,1325,1,88.4,68.3,20.1,"01","13",1,3,1.73205080756888,1.10194007876078
"61",61,2012,"2012_1196_1257",1196,1257,0,80.8,82.5,-1.7,"07","04",0,0,0,-4.60517018598809
"62",62,2012,"2012_1326_1393",1326,1393,1,88.6,90.2,-1.60000000000001,"02","01",0.442307692307692,52,7.21110255092798,3.95143600778498
"63",63,2012,"2012_1242_1314",1242,1314,1,87.7,88.4,-0.700000000000003,"02","01",0.442307692307692,52,7.21110255092798,3.95143600778498
"64",64,2012,"2012_1124_1246",1124,1246,0,81.7,92.4,-10.7,"03","01",0.461538461538462,26,5.09901951359278,3.25848107946056
"65",65,2012,"2012_1242_1326",1242,1326,1,87.7,88.6,-0.899999999999991,"02","02",0.5,1,1,0.00995033085316809
"66",66,2012,"2012_1246_1257",1246,1257,1,92.4,82.5,9.90000000000001,"01","04",0.711111111111111,45,6.70820393249937,3.80688468730484
"67",67,2012,"2012_1242_1246",1242,1246,0,87.7,92.4,-4.7,"02","01",0.442307692307692,52,7.21110255092798,3.95143600778498
"68",68,2013,"2013_1251_1299",1251,1299,0,36.2,39.8,-3.59999999999999,"16","16",0.5,12,3.46410161513775,2.48573963609189
"69",69,2013,"2013_1292_1388",1292,1388,0,74.5,76.5,-2,"11","11",0.5,1,1,0.00995033085316809
"70",70,2013,"2013_1241_1254",1241,1254,1,48.2,48,0.200000000000003,"16","16",0.5,12,3.46410161513775,2.48573963609189
"71",71,2013,"2013_1129_1247",1129,1247,0,74.5,72,2.5,"13","13",0.5,0,0,-4.60517018598809
"72",72,2013,"2013_1112_1125",1112,1125,1,83,73.7,9.3,"06","11",0.666666666666667,108,10.3923048454133,4.68222381543038
"73",73,2013,"2013_1137_1139",1137,1139,0,71.1,74.7,-3.60000000000001,"11","06",0.333333333333333,108,10.3923048454133,4.68222381543038
"74",74,2013,"2013_1143_1424",1143,1424,1,72,78.8,-6.8,"12","05",0.333333333333333,108,10.3923048454133,4.68222381543038
"75",75,2013,"2013_1161_1281",1161,1281,1,78.5,79.5,-1,"08","09",0.472222222222222,108,10.3923048454133,4.68222381543038
"76",76,2013,"2013_1211_1380",1211,1380,1,87.4,49.9,37.5,"01","16",1,108,10.3923048454133,4.68222381543038
"77",77,2013,"2013_1217_1307",1217,1307,1,59.6,84,-24.4,"14","03",0.148148148148148,108,10.3923048454133,4.68222381543038
"78",78,2013,"2013_1257_1299",1257,1299,1,91.3,39.8,51.5,"01","16",1,108,10.3923048454133,4.68222381543038
"79",79,2013,"2013_1172_1266",1172,1266,0,68.3,80.4,-12.1,"14","03",0.148148148148148,108,10.3923048454133,4.68222381543038
"80",80,2013,"2013_1272_1388",1272,1388,1,81,76.5,4.5,"06","11",0.666666666666667,108,10.3923048454133,4.68222381543038
"81",81,2013,"2013_1276_1355",1276,1355,1,84.1,60.2,23.9,"04","13",0.787037037037037,108,10.3923048454133,4.68222381543038
"82",82,2013,"2013_1277_1434",1277,1434,1,83.7,70.1,13.6,"03","14",0.851851851851852,108,10.3923048454133,4.68222381543038
"83",83,2013,"2013_1329_1332",1329,1332,0,81.4,76.9,4.5,"05","12",0.666666666666667,108,10.3923048454133,4.68222381543038
"84",84,2013,"2013_1308_1387",1308,1387,0,66.4,80.9,-14.5,"13","04",0.212962962962963,108,10.3923048454133,4.68222381543038
"85",85,2013,"2013_1285_1393",1285,1393,0,56.4,83.5,-27.1,"13","04",0.212962962962963,108,10.3923048454133,4.68222381543038
"86",86,2013,"2013_1103_1433",1103,1433,0,73.5,80.2,-6.7,"12","05",0.333333333333333,108,10.3923048454133,4.68222381543038
"87",87,2013,"2013_1338_1455",1338,1455,0,83,79.2,3.8,"08","09",0.472222222222222,108,10.3923048454133,4.68222381543038
"88",88,2013,"2013_1153_1166",1153,1166,0,76.7,83.1,-6.39999999999999,"10","07",0.398148148148148,108,10.3923048454133,4.68222381543038
"89",89,2013,"2013_1107_1181",1107,1181,0,51.6,88.5,-36.9,"15","02",0.037037037037037,108,10.3923048454133,4.68222381543038
"90",90,2013,"2013_1195_1207",1195,1207,1,56.2,82.2,-26,"15","02",0.037037037037037,108,10.3923048454133,4.68222381543038
"91",91,2013,"2013_1196_1322",1196,1322,1,89,57.2,31.8,"03","14",0.851851851851852,108,10.3923048454133,4.68222381543038
"92",92,2013,"2013_1160_1228",1160,1228,0,75.8,69.7,6.09999999999999,"10","07",0.398148148148148,108,10.3923048454133,4.68222381543038
"93",93,2013,"2013_1231_1241",1231,1241,1,88,48.2,39.8,"01","16",1,108,10.3923048454133,4.68222381543038
"94",94,2013,"2013_1235_1323",1235,1323,1,76.5,76.6,-0.0999999999999943,"10","07",0.398148148148148,108,10.3923048454133,4.68222381543038
"95",95,2013,"2013_1242_1443",1242,1443,1,85.5,50.6,34.9,"01","16",1,108,10.3923048454133,4.68222381543038
"96",96,2013,"2013_1243_1247",1243,1247,0,77.6,72,5.59999999999999,"04","13",0.787037037037037,108,10.3923048454133,4.68222381543038
"97",97,2013,"2013_1274_1334",1274,1334,1,83.4,59.5,23.9,"02","15",0.962962962962963,108,10.3923048454133,4.68222381543038
"98",98,2013,"2013_1278_1417",1278,1417,1,77.6,77.7,-0.100000000000009,"11","06",0.333333333333333,108,10.3923048454133,4.68222381543038
"99",99,2013,"2013_1279_1458",1279,1458,1,76.9,79.2,-2.3,"12","05",0.333333333333333,108,10.3923048454133,4.68222381543038
"100",100,2013,"2013_1314_1437",1314,1437,1,77.5,70.6,6.90000000000001,"08","09",0.472222222222222,108,10.3923048454133,4.68222381543038
"101",101,2013,"2013_1233_1326",1233,1326,0,62.9,84.8,-21.9,"15","02",0.037037037037037,108,10.3923048454133,4.68222381543038
"102",102,2013,"2013_1328_1361",1328,1361,0,74.4,78.7,-4.3,"10","07",0.398148148148148,108,10.3923048454133,4.68222381543038
"103",103,2013,"2013_1301_1396",1301,1396,0,80.1,71.5,8.59999999999999,"08","09",0.472222222222222,108,10.3923048454133,4.68222381543038
"104",104,2013,"2013_1112_1217",1112,1217,1,83,59.6,23.4,"06","14",0.846153846153846,13,3.60555127546399,2.56571829252441
"105",105,2013,"2013_1161_1257",1161,1257,0,78.5,91.3,-12.8,"08","01",0.207547169811321,53,7.28010988928052,3.97048057499971
"106",106,2013,"2013_1139_1266",1139,1266,0,74.7,80.4,-5.7,"06","03",0.440677966101695,59,7.68114574786861,4.07770692106908
"107",107,2013,"2013_1276_1433",1276,1433,1,84.1,80.2,3.89999999999999,"04","05",0.525423728813559,59,7.68114574786861,4.07770692106908
"108",108,2013,"2013_1272_1277",1272,1277,0,81,83.7,-2.7,"06","03",0.440677966101695,59,7.68114574786861,4.07770692106908
"109",109,2013,"2013_1332_1387",1332,1387,1,76.9,80.9,-4,"12","04",0.407407407407407,27,5.19615242270663,3.29620716780452
"110",110,2013,"2013_1143_1393",1143,1393,0,72,83.5,-11.5,"12","04",0.407407407407407,27,5.19615242270663,3.29620716780452
"111",111,2013,"2013_1211_1455",1211,1455,0,87.4,79.2,8.2,"01","09",0.929824561403509,57,7.54983443527075,4.04322669104349
"112",112,2013,"2013_1166_1181",1166,1181,0,83.1,88.5,-5.40000000000001,"07","02",0.265625,64,8,4.15903932115391
"113",113,2013,"2013_1195_1361",1195,1361,1,56.2,78.7,-22.5,"15","07",0,0,0,-4.60517018598809
"114",114,2013,"2013_1196_1278",1196,1278,1,89,77.6,11.4,"03","11",0.676470588235294,34,5.8309518948453,3.5266545990191
"115",115,2013,"2013_1231_1396",1231,1396,1,88,71.5,16.5,"01","09",0.929824561403509,57,7.54983443527075,4.04322669104349
"116",116,2013,"2013_1242_1314",1242,1314,1,85.5,77.5,8,"01","08",0.792452830188679,53,7.28010988928052,3.97048057499971
"117",117,2013,"2013_1247_1279",1247,1279,1,72,76.9,-4.90000000000001,"13","12",0.111111111111111,9,3,2.19833507162025
"118",118,2013,"2013_1228_1274",1228,1274,0,69.7,83.4,-13.7,"07","02",0.265625,64,8,4.15903932115391
"119",119,2013,"2013_1235_1326",1235,1326,0,76.5,84.8,-8.3,"10","02",0.425,40,6.32455532033676,3.68912942286914
"120",120,2013,"2013_1266_1274",1266,1274,1,80.4,83.4,-3,"03","02",0.377777777777778,45,6.70820393249937,3.80688468730484
"121",121,2013,"2013_1112_1326",1112,1326,0,83,84.8,-1.8,"06","02",0.259259259259259,27,5.19615242270663,3.29620716780452
"122",122,2013,"2013_1231_1393",1231,1393,0,88,83.5,4.5,"01","04",0.711111111111111,45,6.70820393249937,3.80688468730484
"123",123,2013,"2013_1247_1455",1247,1455,0,72,79.2,-7.2,"13","09",0.5,0,0,-4.60517018598809
"124",124,2013,"2013_1181_1277",1181,1277,1,88.5,83.7,4.8,"02","03",0.622222222222222,45,6.70820393249937,3.80688468730484
"125",125,2013,"2013_1195_1196",1195,1196,0,56.2,89,-32.8,"15","03",0.5,0,0,-4.60517018598809
"126",126,2013,"2013_1257_1332",1257,1332,1,91.3,76.9,14.4,"01","12",1,18,4.24264068711928,2.89092715918786
"127",127,2013,"2013_1242_1276",1242,1276,0,85.5,84.1,1.40000000000001,"01","04",0.711111111111111,45,6.70820393249937,3.80688468730484
"128",128,2013,"2013_1266_1393",1266,1393,0,80.4,83.5,-3.09999999999999,"03","04",0.8,5,2.23606797749979,1.61143591509677
"129",129,2013,"2013_1326_1455",1326,1455,0,84.8,79.2,5.59999999999999,"02","09",0.5,0,0,-4.60517018598809
"130",130,2013,"2013_1181_1257",1181,1257,0,88.5,91.3,-2.8,"02","01",0.442307692307692,52,7.21110255092798,3.95143600778498
"131",131,2013,"2013_1196_1276",1196,1276,0,89,84.1,4.90000000000001,"03","04",0.8,5,2.23606797749979,1.61143591509677
"132",132,2013,"2013_1257_1455",1257,1455,1,91.3,79.2,12.1,"01","09",0.929824561403509,57,7.54983443527075,4.04322669104349
"133",133,2013,"2013_1276_1393",1276,1393,1,84.1,83.5,0.599999999999994,"04","04",0.5,0,0,-4.60517018598809
"134",134,2013,"2013_1257_1276",1257,1276,1,91.3,84.1,7.2,"01","04",0.711111111111111,45,6.70820393249937,3.80688468730484
"135",135,2014,"2014_1107_1291",1107,1291,1,47.4,40.1,7.3,"16","16",0.5,12,3.46410161513775,2.48573963609189
"136",136,2014,"2014_1301_1462",1301,1462,1,70.2,71.9,-1.7,"12","12",0.5,1,1,0.00995033085316809
"137",137,2014,"2014_1142_1411",1142,1411,1,47.4,36.7,10.7,"16","16",0.5,12,3.46410161513775,2.48573963609189
"138",138,2014,"2014_1234_1397",1234,1397,0,80,80,0,"11","11",0.5,1,1,0.00995033085316809
"139",139,2014,"2014_1163_1386",1163,1386,1,82.3,72.6,9.7,"07","10",0.601851851851852,108,10.3923048454133,4.68222381543038
"140",140,2014,"2014_1173_1326",1173,1326,1,74.9,82.8,-7.89999999999999,"11","06",0.333333333333333,108,10.3923048454133,4.68222381543038
"141",141,2014,"2014_1107_1196",1107,1196,0,47.4,90.1,-42.7,"16","01",0,0,0,-4.60517018598809
"142",142,2014,"2014_1153_1217",1153,1217,0,80.4,76.5,3.90000000000001,"05","12",0.666666666666667,108,10.3923048454133,4.68222381543038
"143",143,2014,"2014_1257_1264",1257,1264,1,88.3,67.5,20.8,"04","13",0.787037037037037,108,10.3923048454133,4.68222381543038
"144",144,2014,"2014_1276_1459",1276,1459,1,81.8,49,32.8,"02","15",0.962962962962963,108,10.3923048454133,4.68222381543038
"145",145,2014,"2014_1174_1277",1174,1277,0,62.1,85.1,-23,"13","04",0.212962962962963,108,10.3923048454133,4.68222381543038
"146",146,2014,"2014_1295_1328",1295,1328,1,69,79.2,-10.2,"12","05",0.333333333333333,108,10.3923048454133,4.68222381543038
"147",147,2014,"2014_1140_1332",1140,1332,0,73.1,81.6,-8.5,"10","07",0.398148148148148,108,10.3923048454133,4.68222381543038
"148",148,2014,"2014_1160_1338",1160,1338,0,71.5,83.4,-11.9,"08","09",0.472222222222222,108,10.3923048454133,4.68222381543038
"149",149,2014,"2014_1308_1361",1308,1361,0,66.1,81.2,-15.1,"13","04",0.212962962962963,108,10.3923048454133,4.68222381543038
"150",150,2014,"2014_1301_1387",1301,1387,0,70.2,77.9,-7.7,"12","05",0.333333333333333,108,10.3923048454133,4.68222381543038
"151",151,2014,"2014_1393_1444",1393,1444,1,84,57.3,26.7,"03","14",0.851851851851852,108,10.3923048454133,4.68222381543038
"152",152,2014,"2014_1113_1400",1113,1400,0,74.8,73,1.8,"10","07",0.398148148148148,108,10.3923048454133,4.68222381543038
"153",153,2014,"2014_1437_1454",1437,1454,1,85,53,32,"02","15",0.962962962962963,108,10.3923048454133,4.68222381543038
"154",154,2014,"2014_1110_1458",1110,1458,0,55.4,85.8,-30.4,"15","02",0.037037037037037,108,10.3923048454133,4.68222381543038
"155",155,2014,"2014_1112_1451",1112,1451,1,91.1,51.8,39.3,"01","16",1,108,10.3923048454133,4.68222381543038
"156",156,2014,"2014_1124_1304",1124,1304,1,76.2,70,6.2,"06","11",0.666666666666667,108,10.3923048454133,4.68222381543038
"157",157,2014,"2014_1166_1418",1166,1418,1,81.5,57.9,23.6,"03","14",0.851851851851852,108,10.3923048454133,4.68222381543038
"158",158,2014,"2014_1211_1329",1211,1329,1,79.7,81.8,-2.09999999999999,"08","09",0.472222222222222,108,10.3923048454133,4.68222381543038
"159",159,2014,"2014_1235_1300",1235,1300,1,83.8,62,21.8,"03","14",0.851851851851852,108,10.3923048454133,4.68222381543038
"160",160,2014,"2014_1184_1242",1184,1242,0,56.8,86.7,-29.9,"15","02",0.037037037037037,108,10.3923048454133,4.68222381543038
"161",161,2014,"2014_1243_1246",1243,1246,0,73.1,85.5,-12.4,"09","08",0.527777777777778,108,10.3923048454133,4.68222381543038
"162",162,2014,"2014_1203_1272",1203,1272,0,75.5,74.4,1.09999999999999,"09","08",0.527777777777778,108,10.3923048454133,4.68222381543038
"163",163,2014,"2014_1181_1273",1181,1273,0,83.7,62.3,21.4,"03","14",0.851851851851852,108,10.3923048454133,4.68222381543038
"164",164,2014,"2014_1314_1344",1314,1344,1,79.4,73.4,6,"06","11",0.666666666666667,108,10.3923048454133,4.68222381543038
"165",165,2014,"2014_1372_1433",1372,1433,1,67.1,82.3,-15.2,"12","05",0.333333333333333,108,10.3923048454133,4.68222381543038
"166",166,2014,"2014_1307_1390",1307,1390,0,79.5,76.1,3.40000000000001,"07","10",0.601851851851852,108,10.3923048454133,4.68222381543038
"167",167,2014,"2014_1269_1397",1269,1397,0,76.4,80,-3.59999999999999,"06","11",0.666666666666667,108,10.3923048454133,4.68222381543038
"168",168,2014,"2014_1409_1417",1409,1417,0,64.4,83.2,-18.8,"13","04",0.212962962962963,108,10.3923048454133,4.68222381543038
"169",169,2014,"2014_1157_1438",1157,1438,0,47.4,86.9,-39.5,"16","01",0,0,0,-4.60517018598809
"170",170,2014,"2014_1142_1455",1142,1455,0,47.4,88.2,-40.8,"16","01",0,0,0,-4.60517018598809
"171",171,2014,"2014_1163_1437",1163,1437,1,82.3,85,-2.7,"07","02",0.265625,64,8,4.15903932115391
"172",172,2014,"2014_1173_1393",1173,1393,1,74.9,84,-9.09999999999999,"11","03",0.323529411764706,34,5.8309518948453,3.5266545990191
"173",173,2014,"2014_1196_1338",1196,1338,1,90.1,83.4,6.69999999999999,"01","09",0.929824561403509,57,7.54983443527075,4.04322669104349
"174",174,2014,"2014_1257_1387",1257,1387,1,88.3,77.9,10.4,"04","05",0.525423728813559,59,7.68114574786861,4.07770692106908
"175",175,2014,"2014_1276_1400",1276,1400,1,81.8,73,8.8,"02","07",0.734375,64,8,4.15903932115391
"176",176,2014,"2014_1217_1277",1217,1277,0,76.5,85.1,-8.59999999999999,"12","04",0.407407407407407,27,5.19615242270663,3.29620716780452
"177",177,2014,"2014_1295_1361",1295,1361,0,69,81.2,-12.2,"12","04",0.407407407407407,27,5.19615242270663,3.29620716780452
"178",178,2014,"2014_1332_1458",1332,1458,0,81.6,85.8,-4.2,"07","02",0.265625,64,8,4.15903932115391
"179",179,2014,"2014_1112_1211",1112,1211,1,91.1,79.7,11.4,"01","08",0.792452830188679,53,7.28010988928052,3.97048057499971
"180",180,2014,"2014_1124_1166",1124,1166,1,76.2,81.5,-5.3,"06","03",0.440677966101695,59,7.68114574786861,4.07770692106908
"181",181,2014,"2014_1235_1314",1235,1314,1,83.8,79.4,4.39999999999999,"03","06",0.559322033898305,59,7.68114574786861,4.07770692106908
"182",182,2014,"2014_1246_1455",1246,1455,1,85.5,88.2,-2.7,"08","01",0.207547169811321,53,7.28010988928052,3.97048057499971
"183",183,2014,"2014_1242_1390",1242,1390,0,86.7,76.1,10.6,"02","10",0.575,40,6.32455532033676,3.68912942286914
"184",184,2014,"2014_1273_1397",1273,1397,0,62.3,80,-17.7,"14","11",0,0,0,-4.60517018598809
"185",185,2014,"2014_1372_1417",1372,1417,0,67.1,83.2,-16.1,"12","04",0.407407407407407,27,5.19615242270663,3.29620716780452
"186",186,2014,"2014_1272_1438",1272,1438,0,74.4,86.9,-12.5,"08","01",0.207547169811321,53,7.28010988928052,3.97048057499971
"187",187,2014,"2014_1112_1361",1112,1361,1,91.1,81.2,9.89999999999999,"01","04",0.711111111111111,45,6.70820393249937,3.80688468730484
"188",188,2014,"2014_1173_1390",1173,1390,1,74.9,76.1,-1.19999999999999,"11","10",1,1,1,0.00995033085316809
"189",189,2014,"2014_1196_1417",1196,1417,1,90.1,83.2,6.89999999999999,"01","04",0.711111111111111,45,6.70820393249937,3.80688468730484
"190",190,2014,"2014_1124_1458",1124,1458,0,76.2,85.8,-9.59999999999999,"06","02",0.259259259259259,27,5.19615242270663,3.29620716780452
"191",191,2014,"2014_1163_1235",1163,1235,1,82.3,83.8,-1.5,"07","03",0.25,8,2.82842712474619,2.08069076108027
"192",192,2014,"2014_1246_1257",1246,1257,1,85.5,88.3,-2.8,"08","04",0.666666666666667,6,2.44948974278318,1.79342474854712
"193",193,2014,"2014_1276_1397",1276,1397,1,81.8,80,1.8,"02","11",0.909090909090909,11,3.3166247903554,2.39880395073459
"194",194,2014,"2014_1277_1438",1277,1438,1,85.1,86.9,-1.80000000000001,"04","01",0.288888888888889,45,6.70820393249937,3.80688468730484
"195",195,2014,"2014_1173_1196",1173,1196,0,74.9,90.1,-15.2,"11","01",0.6,5,2.23606797749979,1.61143591509677
"196",196,2014,"2014_1112_1458",1112,1458,0,91.1,85.8,5.3,"01","02",0.557692307692308,52,7.21110255092798,3.95143600778498
"197",197,2014,"2014_1163_1277",1163,1277,1,82.3,85.1,-2.8,"07","04",0,0,0,-4.60517018598809
"198",198,2014,"2014_1246_1276",1246,1276,1,85.5,81.8,3.7,"08","02",0.6,5,2.23606797749979,1.61143591509677
"199",199,2014,"2014_1163_1196",1163,1196,1,82.3,90.1,-7.8,"07","01",0,0,0,-4.60517018598809
"200",200,2014,"2014_1246_1458",1246,1458,1,85.5,85.8,-0.299999999999997,"08","02",0.6,5,2.23606797749979,1.61143591509677
"201",201,2014,"2014_1163_1246",1163,1246,1,82.3,85.5,-3.2,"07","08",0,0,0,-4.60517018598809
