team,conference,bpi,pva,conf_rank,w_l,raw,raw_rank,sos,sos_rank,var,var_rank
Arizona,Pac-12,91.1,18.9,1,33-5,76.4,3,64.7,40,6.7,351
Florida,SEC,90.1,17.9,1,36-3,76.1,4,64,53,7.3,349
Louisville,American,88.3,16.4,1,31-6,80.5,2,57.8,100,9.3,347
Wichita State,MVC,88.2,16.3,1,35-1,83.6,1,54.5,114,7,350
Virginia,ACC,86.9,15.3,1,30-7,73.7,8,63.2,60,11.6,339
Kansas,Big 12,86.7,15.2,1,25-10,67.6,32,69.1,4,11.3,342
Wisconsin,Big Ten,85.8,14.6,1,30-8,69.7,15,66.1,23,12.6,335
Kentucky,SEC,85.5,14.4,2,29-11,65.8,36,69.6,1,11.1,344
Michigan State,Big Ten,85.1,14.2,2,29-9,68.7,22,66.4,17,12.9,327
Villanova,Big East,85,14.1,1,29-5,72.7,9,62.3,75,13.1,324
Syracuse,ACC,84,13.4,2,28-6,70.2,13,63.7,58,13.2,321
Iowa State,Big 12,83.8,13.3,2,28-8,64.6,42,69.2,3,11.6,340
Duke,ACC,83.7,13.3,3,26-9,69,18,64.7,42,14.9,296
Pittsburgh,ACC,83.4,13.1,4,26-10,67.9,30,65.5,31,11.1,345
UCLA,Pac-12,83.2,13,2,28-9,69.4,17,63.8,57,14.6,301
Ohio State,Big Ten,82.8,12.7,3,25-10,67.2,33,65.6,29,13.2,322
VCU,A 10,82.3,12.5,1,26-9,69.5,16,62.8,68,13.6,316
Connecticut,American,82.3,12.5,2,32-8,67,35,65.3,35,14.3,303
Oklahoma St,Big 12,81.8,12.2,3,21-13,65.5,39,66.3,18,12.6,334
Michigan,Big Ten,81.8,12.2,4,28-9,64.5,45,67.4,8,14,309
Oregon,Pac-12,81.6,12.1,3,24-10,65,40,66.6,15,12.7,331
Creighton,Big East,81.5,12,2,27-8,69.7,14,61.8,81,15.7,283
San Diego State,MW,81.2,11.9,1,31-5,71.6,11,59.6,91,11.8,338
Cincinnati,American,80.4,11.4,3,27-7,68.6,23,61.8,82,13.5,317
Tennessee,SEC,80,11.3,3,24-13,68.8,20,61.2,84,16.2,271
Iowa,Big Ten,80,11.2,5,20-13,64.6,44,65.4,32,12.7,332
Gonzaga,WCC,79.7,11.1,1,29-7,71,12,58.7,97,16.3,266
New Mexico,MW,79.5,11,2,27-7,67.1,34,62.4,74,13.7,313
North Carolina,ACC,79.4,10.9,5,24-10,62.4,56,66.9,11,14.9,295
Oklahoma,Big 12,79.2,10.8,4,23-10,61.1,66,68,6,13.8,312
SMU,American,78.9,10.7,4,27-10,68.6,26,60.3,87,13.7,314
Saint Louis,A 10,77.9,10.2,2,27-7,65.6,37,62.3,76,12.8,329
Harvard,Ivy,76.5,9.6,1,27-5,73.7,7,52.8,123,12.7,333
Massachusetts,A 10,76.4,9.5,3,24-9,59.6,77,66.8,13,14.6,300
Baylor,Big 12,76.2,9.4,5,26-12,61.8,61,64.4,45,18.7,169
Stanford,Pac-12,76.1,9.4,4,23-13,58.1,91,67.9,7,17.9,207
G. Washington,A 10,75.5,9.1,4,24-9,62.2,57,63.2,61,17.6,219
Utah,Pac-12,75.4,9.1,5,21-12,64.6,43,60.7,85,13.3,319
Maryland,ACC,75.1,9,6,17-15,55.7,118,69.4,2,16.2,267
Arkansas,SEC,75,8.9,4,22-12,62.1,59,62.9,67,17,238
Dayton,A 10,74.9,8.9,5,26-11,61,67,63.9,54,18.8,164
Arizona State,Pac-12,74.8,8.8,6,21-12,59.8,72,65,38,18.3,187
Memphis,American,74.4,8.7,5,24-10,61.4,64,63,66,18.1,195
Florida St,ACC,74.3,8.6,7,22-14,57.2,101,67,10,16.1,275
Minnesota,Big Ten,73.9,8.4,6,25-13,57.9,92,66,25,17.3,228
Clemson,ACC,73.9,8.4,8,23-13,59.8,73,64.1,49,16,276
Louisiana Tech,C-USA,73.8,8.4,1,29-8,72.4,10,51.4,137,15.8,281
Providence,Big East,73.4,8.2,3,23-12,57.3,99,66.2,22,16.5,258
BYU,WCC,73.1,8.1,2,23-12,60,71,63.2,63,18.4,179
Kansas St,Big 12,73.1,8.1,6,20-13,56.7,109,66.4,16,19.2,144
Texas,Big 12,73,8.1,7,24-11,56.8,107,66.3,19,17.6,220
Saint Joseph's,A 10,72.6,7.9,6,24-10,59.2,82,63.4,59,17.7,213
Missouri,SEC,72.5,7.8,5,23-12,56.3,111,66.2,20,15.6,288
Xavier,Big East,71.9,7.6,4,21-13,56.8,108,65.2,37,21.6,62
St. John's,Big East,71.9,7.6,5,20-13,57.9,94,64,52,17.1,236
Colorado,Pac-12,71.5,7.5,7,23-12,53.4,156,68.2,5,18.8,161
Illinois,Big Ten,70.9,7.2,7,20-15,55,131,65.9,26,18,203
Southern Miss,C-USA,70.5,7,2,29-7,68.9,19,51.6,134,18.8,160
LSU,SEC,70.4,7,6,20-14,55.7,117,64.7,43,18.8,162
Boise State,MW,70.3,7,3,21-13,61.2,65,59.1,93,15.4,291
NC State,ACC,70.2,7,9,22-14,54.4,142,65.9,28,19.6,128
California,Pac-12,70.2,6.9,8,21-14,55.5,122,64.7,41,19.7,124
Saint Mary's,WCC,70.2,6.9,3,23-12,62.1,60,58.1,98,22.3,41
Nebraska,Big Ten,70,6.9,8,19-13,53.8,152,66.2,21,20.6,92
North Dakota St,Summit,69,6.5,1,26-7,67.7,31,51.3,138,19.2,145
West Virginia,Big 12,68.8,6.4,8,17-16,52.7,162,66.1,24,19.1,146
Ole Miss,SEC,68.5,6.3,7,19-14,54.4,143,64.2,48,14,307
Indiana,Big Ten,68.5,6.3,9,17-15,55.5,123,63,65,20.2,110
UNLV,MW,68.4,6.3,4,20-13,59.6,76,58.8,96,18.7,168
Green Bay,Horizon,68.3,6.2,1,24-7,68.1,28,50.2,151,20.2,107
Marquette,Big East,68,6.1,6,17-15,52.6,164,65.4,33,16.4,262
Manhattan,MAAC,67.5,5.9,1,25-8,65.5,38,51.9,130,17.1,234
Georgetown,Big East,67.4,5.9,7,18-15,53.6,155,63.9,55,23.4,17
SF Austin,Southland,67.1,5.8,1,32-3,75.5,5,41.6,251,13.9,311
Iona,MAAC,66.8,5.7,2,22-11,63.5,49,53.3,119,18,199
Georgia,SEC,66.4,5.5,8,20-14,53.9,149,62.5,72,23.2,20
St. Bonaventure,A 10,66.3,5.5,7,18-15,56.1,113,60.2,88,19.5,133
New Mexico St,WAC,66.1,5.4,1,26-10,68.8,21,47.3,179,19.2,142
Richmond,A 10,66,5.4,8,19-14,53.2,158,62.8,70,19.3,140
Miami (FL),ACC,65.6,5.2,10,17-16,53.6,154,62,80,22.7,29
Texas Tech,Big 12,65.5,5.2,9,14-18,48.2,202,67.3,9,17.8,209
Notre Dame,ACC,65.3,5.1,11,15-17,48.6,199,66.6,14,16.3,264
San Francisco,WCC,64.9,5,4,21-12,57.3,100,57.7,102,20.3,101
Cleveland State,Horizon,64.7,4.9,2,21-12,63.7,47,51,141,18.2,190
Georgia State,Sun Belt,64.6,4.9,1,25-9,68.3,27,46.3,196,18.2,189
Alabama,SEC,64.6,4.9,9,13-19,47.7,218,66.9,12,19.3,138
Tulsa,C-USA,64.4,4.8,3,21-13,58.8,85,55.6,111,20.9,79
Toledo,MAC,64,4.7,1,27-7,63.3,52,50.7,146,17,240
Penn State,Big Ten,63.9,4.6,10,16-18,48.1,205,65.9,27,16.7,254
Middle Tennessee,C-USA,63.5,4.5,4,24-9,64.8,41,48.7,163,17.9,206
Oregon State,Pac-12,63.5,4.5,9,16-16,49.1,191,64.4,47,20.4,99
Seton Hall,Big East,63.5,4.5,8,17-17,51.9,172,61.6,83,20.9,82
Purdue,Big Ten,63.3,4.4,11,15-17,48,206,65.3,36,19.1,147
UTEP,C-USA,63,4.3,5,23-11,62.7,54,50.3,150,20.3,105
Mercer,A-Sun,62.3,4.1,1,27-9,68.6,25,43.8,222,19.2,143
Vermont,Am. East,62.3,4.1,1,22-11,68,29,44.3,216,21.8,56
Utah State,MW,62.2,4,5,18-14,54.5,140,57.7,101,21.3,69
Vanderbilt,SEC,62.2,4,10,15-16,47.7,216,64.5,44,19.5,134
Buffalo,MAC,62.1,4,2,19-10,63.2,53,48.9,159,23.1,23
Delaware,CAA,62.1,4,1,25-10,59.5,80,52.6,126,14.7,299
Butler,Big East,62,4,9,14-17,50,184,62,79,18.9,154
N Carolina Cent,MEAC,62,4,1,28-6,74.2,6,37.8,316,14.9,297
Belmont,OVC,61.8,3.9,1,26-10,63.3,51,48.4,166,18.6,174
Washington,Pac-12,61.7,3.9,10,17-15,48.9,196,62.8,69,20.6,88
UC Irvine,Big West,61.4,3.8,1,23-12,63.4,50,48,170,20.5,95
Northern Iowa,MVC,61.1,3.7,2,16-15,55.3,125,55.8,109,22.3,39
UC Santa Barbara,Big West,61.1,3.6,2,21-9,64,46,47.1,183,22.6,33
Wake Forest,ACC,61,3.6,12,17-16,46.2,232,64.8,39,22,47
La Salle,A 10,60.9,3.6,9,15-16,47.8,211,63.1,64,21,76
Texas A&M,SEC,60.6,3.5,11,18-16,52.7,161,57.9,99,25.7,3
Indiana State,MVC,60.2,3.4,3,23-11,57.6,95,52.7,125,16.9,243
Wyoming,MW,60.2,3.4,6,18-15,55.9,116,54.4,115,18.4,181
Princeton,Ivy,60.1,3.3,2,21-9,62.7,55,47.4,177,18,197
Portland,WCC,59.9,3.3,5,15-16,55.9,115,54.1,116,22.1,45
Auburn,SEC,59.8,3.2,12,14-16,47.1,222,62.6,71,23,24
Ohio,MAC,59.6,3.2,3,25-12,58.4,89,51.3,140,19.9,118
South Carolina,SEC,59.3,3,13,14-20,45.2,244,64,50,23.8,12
Georgia Tech,ACC,58.9,2.9,13,16-17,46.7,226,62.2,78,18.2,188
Fresno State,MW,58.8,2.9,7,21-18,51.9,171,56.9,104,20.5,96
Davidson,Southern,58.3,2.7,1,20-13,61.5,63,46.9,187,20.8,84
Columbia,Ivy,58.1,2.6,3,21-13,59.5,81,48.6,164,19.8,123
Rhode Island,A 10,58,2.6,10,14-18,48.2,203,59.8,89,19.9,116
LA-Lafayette,Sun Belt,57.9,2.6,2,23-12,59.6,75,48.2,168,18.9,152
E Michigan,MAC,57.8,2.5,4,22-15,57.2,102,50.6,147,16.9,246
W Michigan,MAC,57.3,2.4,5,23-10,58.6,87,48.8,161,21.6,61
Colorado State,MW,57.2,2.4,8,16-16,54.5,138,52.7,124,17.7,214
Boston U,Patriot,57.2,2.3,1,24-11,57.9,93,49.3,156,20.7,86
Drexel,CAA,57.1,2.3,2,16-14,54.2,144,52.9,122,21.1,74
Towson,CAA,56.9,2.3,3,25-11,60,70,46.9,185,18.3,186
E Kentucky,OVC,56.8,2.2,2,24-10,63.7,48,43.1,229,20.2,109
Akron,MAC,56.7,2.2,6,21-13,54.7,136,52,128,20.2,106
Houston,American,56.7,2.2,6,17-16,47.7,214,58.9,95,22.5,36
Missouri State,MVC,56.6,2.2,4,20-13,51.6,174,55,112,19.8,121
Northwestern,Big Ten,56.4,2.1,12,14-19,41.1,275,65.4,34,21.6,60
Hawaii,Big West,56.4,2.1,3,20-11,60.2,68,46.2,197,19.8,120
George Mason,A 10,56.1,2,11,11-20,43,264,63.2,62,17.4,224
IPFW,Summit,56.1,2,2,25-11,61.7,62,44.5,215,17.7,217
Denver,Summit,56,2,3,16-15,54,146,52,129,24,10
Canisius,MAAC,55.7,1.8,3,21-13,57.1,103,48.5,165,22,51
American U,Patriot,55.4,1.7,2,20-13,59.6,78,45.8,201,23.3,18
Duquesne,A 10,55.3,1.7,12,13-17,48.9,195,56.4,105,19.7,126
Murray State,OVC,55.2,1.7,3,23-11,62.1,58,43.1,230,18.5,178
Nevada,MW,55.2,1.7,9,15-17,46.2,233,59,94,21.2,71
Wright State,Horizon,54.7,1.5,3,21-15,59,84,45.7,202,19.3,139
San Diego,WCC,54.6,1.5,6,18-17,51.6,175,53,121,21.8,58
Illinois State,MVC,54.2,1.4,5,18-16,50.6,180,53.6,118,25.1,6
Pacific,WCC,54.1,1.3,7,18-16,47.8,213,56.3,107,25.9,2
William & Mary,CAA,53.9,1.3,4,20-12,55,132,48.9,160,23.6,16
Boston College,ACC,53.3,1.1,14,8-24,37.7,307,65.6,30,17.8,210
Quinnipiac,MAAC,53.3,1.1,4,20-12,55.9,114,47.4,178,22,50
Milwaukee,Horizon,53,1,4,21-14,52.1,170,50.9,143,25.5,4
Pepperdine,WCC,52.6,0.9,8,15-16,47.7,217,54.9,113,23.7,14
South Dakota St,Summit,52.6,0.8,4,19-13,57.5,97,45.1,209,20.6,90
USC,Pac-12,52.4,0.8,11,11-21,38.6,297,63.8,56,16.8,252
Valparaiso,Horizon,52.3,0.8,5,18-16,53.9,148,48.4,167,22.7,31
Virginia Tech,ACC,52.1,0.7,15,9-22,38.1,300,64,51,19.7,125
UAB,C-USA,52,0.7,6,18-13,55.1,128,46.9,186,22.3,42
Weber State,Big Sky,51.8,0.6,1,19-12,59.5,79,42.3,240,21,78
DePaul,Big East,51.7,0.6,10,12-21,37.3,309,64.4,46,18.9,155
Long Beach St,Big West,51.7,0.6,4,15-17,50.2,182,51.6,135,18,202
Charlotte,C-USA,51.5,0.5,7,17-14,51.5,177,50,153,23.3,19
Temple,American,51.1,0.3,7,9-22,38.6,296,62.4,73,18.8,159
Santa Clara,WCC,51,0.3,9,14-19,47.8,212,53.2,120,23.1,22
Yale,Ivy,50.9,0.3,4,19-14,51.7,173,49.3,157,21.4,68
UCF,American,50.9,0.3,8,13-18,44.5,245,56.4,106,16.2,269
Brown,Ivy,50.7,0.2,5,15-14,57.1,105,43.6,226,16.4,263
Rutgers,American,50.5,0.1,9,12-21,40.7,280,59.8,90,17,239
Arkansas State,Sun Belt,50.4,0.1,3,19-13,56.8,106,43.7,225,21.5,65
Bucknell,Patriot,50.3,0.1,3,16-14,53.8,150,46.5,192,27.6,1
Siena,MAAC,50.3,0.1,5,20-18,48.8,197,51.5,136,22.3,40
Stony Brook,Am. East,50.2,0.1,2,23-11,59.7,74,40.5,265,17.7,215
W Kentucky,Sun Belt,50,0,4,20-12,52.2,169,47.9,172,20,113
Old Dominion,C-USA,50,0,8,18-18,49.3,189,50.7,145,21.5,63
Youngstown St,Horizon,49.7,-0.1,6,15-17,53.4,157,46.3,195,16.8,250
USC Upstate,A-Sun,49.6,-0.1,2,19-15,58.3,90,41.3,257,18,201
Omaha,Summit,49.6,-0.1,5,17-15,55.1,129,44.5,214,17.8,212
Holy Cross,Patriot,49.5,-0.2,4,20-14,53.6,153,45.8,200,19.8,122
Wofford,Southern,49,-0.3,2,20-13,58.7,86,40.4,266,19.9,117
Morehead State,OVC,48.8,-0.4,4,20-14,54.6,137,44.2,218,20.6,89
S Illinois,MVC,48.4,-0.5,6,14-19,48.7,198,49.8,154,19.1,149
Drake,MVC,48.4,-0.5,7,15-16,46.1,234,52.3,127,23.2,21
